keys,en,es,ru,it,fr,cn,ja,de,br,ga
HOLD_TO_THROW,Hold to throw,Mantén pulsado para lanzar,"Удерживать, чтобы бросить",Tieni premuto per lanciare,Maintenir pour lancer,按住投掷,押したままにすると投げる,"Halten, um zu werfen",Segure para jogar,Coinnigh chun caith
RELEASE_TO_THROW,Release to throw,Suelta para lanzar,"Отпустить, чтобы бросить",Rilascia per lanciare,Relâcher pour lancer,松开投掷,離すと投げる,"Loslassen, um zu werfen",Solte para jogar,Scaoil chun caith
GRAB,Grab ,Coge ,Взять ,Afferra ,Saisir ,抓取 ,つかむ ,Greifen ,Pegue ,Greamaigh 
URN,Urn,Urna,Урну,Urna,Urne,瓮,壺,Urne,Urna,Uirn
PITCHER,Pitcher,Jarra,Кувшин,Brocca,Pichet,壶,水差し,Krug,Jarro,Crúiscín
KEY,Key,Llave,Ключ,Chiave,Clé,钥匙,鍵,Schlüssel,Chave,Eochair
SKULL,Skull,Cráneo,Череп,Teschio,Crâne,头骨,頭蓋骨,Schädel,Crânio,Clib
TORCH,Torch,Antorcha,Факел,Torcia,Torche,火把,松明,Fackel,Tocha,Tóirse
PRESS_BUTTON,Press button,Pulsa el botón,Нажать на кнопку,Premi il pulsante,Appuyer sur le bouton,按下按钮,ボタンを押す,Knopf drücken,Pressione o botão,Brúigh an cnaipe
PULL_LEVER,Pull lever,Tira de la palanca,Потянуть рычаг,Tira la leva,Tirer le levier,拉动杠杆,レバーを引く,Hebel ziehen,Puxe a alavanca,Tarraing an luamhán
LEVER_HANDLE,Lever handle,Manilla de palanca,Ручка рычага,Maniglia a leva,Poignée à levier,杠杆手柄,レバーハンドル,Hebelgriff,Alavanca,Láimhseáil ghiaráin
ATTACH_LEVER,Attach lever,Fijar la palanca,Прикрепить рычаг,Fissare la leva,Fixer le levier,安装杠杆,レバーを取り付ける,Hebel befestigen,Fixar a alavanca,Ceangail an giar
BABY,Baby,,,,,,,,,
BELL,Bell,,,,,,,,,
SAVE_BABY,Save Baby,,,,,,,,,
STATUE_PIECE_HEAD,Head piece,,,,,,,,,
STATUE_PIECE_BASE,Base piece,,,,,,,,,
STATUE_PIECE_ARM,Arm piece,,,,,,,,,
STATUE_PROMPT,Attach piece ,,,,,,,,,
STONE,Stone,,,,,,,,,
SAVE,Hold to save,,,,,,,,,
PULL_CHAIN,Pull chain,,,,,,,,,
UNLOCK_DOOR,Unlock door,,,,,,,,,
TORCH_SCONCE,Light sconce,,,,,,,,,
LEVER_HANDLE,Lever handle,,,,,,,,,
